,1,2,3,4,5,6,7,8,9,10,,link
1984-04-15,SPYH,TnF,POLE,MACH,LAIR,POLE2,,,,,,https://archive.org/details/play-meter-april-15-1984/page/12/mode/2up?q=poll
1984-09-15,PUNCH,SPYH,TnF,POLE,BRDKNG,HYPSP,CROSS,TAG,MOTOR,TAP,,
1984-11-15,PUNCH,2TIG,SPYH,GAPLU,CROSS,BRDKNG,HYPSP,TnF,POLE,GRGNS,,
1984-12-01,SPYH,PUNCH,2TIG,HYPSP,CROSS,POLE,BRDKNG,TnF,10YRD,TAG,,
1985-01-15,KARCHA,SPYH,PUNCH,2TIG,CROSS,10YRD,BRDKNG,POLE,HYPSP,TnF,,
1985-06-01,KUNGFU,MARBL,YIEAR,KARCHA,SPYH,VSXCITE,CROSS,ROADFT,CHEYENNE,POLE2,,
1985-06-15,HATTRK,KUNGFU,VSGOLF,MARBL,SUPUNCH,KARCHA,VSXCITE,BRDKNG3,SPYH,YIEAR,,https://archive.org/details/play-meter-june-15-1985/page/36/mode/2up?q=poll
1985-07-15,COMM,DUCK,BUGGY,HOGAN,KUNGFU,CHEYENNE,COBRA,KARCHA,SUPUNCH,1942,,https://archive.org/details/play-meter-july-15-1985/page/26/mode/2up
1985-08-15,,,,,,,,,,,,
1985-09-01,PAPER,COMM,DUCK,SPYH,MAGMAX,CHEYENNE,KUNGFU,YIEAR,,,,
1985-09-15,COMM,1942,PAPER,DEMO,SPECFRC,HOGAN,KUNGFU,DUCK,YIEAR,POLE2,,
1985-10-15,DEMO,MAGMAX,SUPUNCH,COMM,PAPER,CHEYENNE,HOGAN,1942,KUNGFU,DUCK,,https://archive.org/details/play-meter-october-1-1985/page/n9/mode/2up?q=poll
1985-11-15,HANG,TEMPLE,DEMO,PAPER,COMM,KUNGFU,HOGAN,MAGMAX,DUCK,SPYH,,https://archive.org/details/play-meter-november-15-1985/page/44/mode/2up?q=poll
1986-01-15,GAUNT,HANG,CHOP,MAT,RING,GUNSMOKE,MINIGOLF,PAPER,TEMPLE,COMM,,https://archive.org/details/play-meter-volume-12-number-1-january-15th-1986-600DPI/Play%20Meter%20-%20Volume%2012%2C%20Number%201%20-%20January%2015th%201986%20%28Compressed%29/page/20/mode/2up
1986-02-01,GAUNT,HANG,STOCK,MINIGOLF,MAT,TEMPLE,CRACK,DEMO,PAPER,CHOP,,https://archive.org/details/play-meter-volume-12-number-2-february-1986-600dpi/Play%20Meter%20-%20Volume%2012%2C%20Number%202%20-%20February%201986%20%28Compressed%29/page/30/mode/2up
1986-04-01,HANG,GAUNT,HANGMINI,WRLDSER,RING,TIGER,CHOP,GHOSTS,MAT,PAPER,,https://archive.org/details/play-meter-volume-12-number-5-april-1986-600DPI/Play%20Meter%20-%20Volume%2012%2C%20Number%205%20-%20April%201986%20%28Compressed%29/page/116/mode/2up
1986-07-15,SUPSPRINT,IKARI,MANIA,GAUNT,WRLDSER,SARGE,HANGMINI,GLAD,GRID,HANG,,https://archive.org/details/play-meter-volume-12-number-12-july-15th-1986-600dpi/Play%20Meter%20-%20Volume%2012%2C%20Number%2012%20-%20July%2015th%201986%20%28Compressed%29/page/74/mode/2up
1986-08-15,QUARTET,IKARI,SPEEDBUG,RYGAR,GAUNT,PAPER,HANGMINI,HALLEY,WRLDSER,CRUISE,,https://archive.org/details/play-meter-volume-12-number-14-august-15th-1986-600dpi/Play%20Meter%20-%20Volume%2012%2C%20Number%2014%20-%20August%2015th%201986%20%28Compressed%29/page/36/mode/2up
1986-10-15,RAMPAGE,SUPSPRINT,ENDURO,SPACEHAR,GAUNT,CROSS,RYGAR,HANGMINI,IKARI,ARKANOID,,https://archive.org/details/play-meter-volume-12-number-18-october-15th-1986-600dpi/Play%20Meter%20-%20Volume%2012%2C%20Number%2018%20-%20October%2015th%201986%20%28Compressed%29/
